https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q872555	"48.2617,11.6667"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q8727	"53.333611111111,-2.8497222222222"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q872896	"51.3325,12.3682"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873107	"48.0625,16.8522"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873139	"48.17828,16.30869"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q8733	"39.9,116.38333333333"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873362	"51.4053,12.3422"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873567	"49.443333333333,4.0413888888889"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873645	"35.005208333333,135.78340277778"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q873769	"13.750138888889,100.49202777778"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q8738	"51.163611111111,13.4775"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874	"39,60"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874027	"35.060278,135.752778"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874197	"-0.68833333333333,10.231944444444"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q8742	"51.165,13.679444444444"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874262	"-28.553888888889,29.7825"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874319	"51.417,-0.218"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874373	"51.0443,13.7466"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q87448315	"40.7178,-74.0431"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q8745	"42.235833333333,-8.7266666666667"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874600	"48.184221492730366,16.302912437218826"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q874724	"49.4114,8.70278"
https://d0rgkq.deta.dev/view_connections?entity=https://www.wikidata.org/entity/Q87478702	"49.900555555555556,-97.1451388888889"
