Column 1	coordinate location
Q1537378	48.87276833333333,2.2978513888888887
Q153739	
Q1537445	
Q15374467	
Q153746	
Q1537493	
Q1537534	
Q153759	50.725,7.0727777777778
Q1537591	
Q1537618	
Q1537630	50.870902777778,-0.74140555555556
Q1537653	
Q1537698	29.7591,-95.3677
Q1537712	50.048055555556,-5.1819444444444
Q15377163	
Q153779	50.966666666667,7.0166666666667
Q1537820	
Q1537825	
Q15378591	
Q15378682	
Q15378739	
Q15378913	51.498405,-0.180088
Q15379063	
Q15379291	51.5004,-0.149778
Q153793	
Q1537946	
Q153795	
Q1537962	
Q1537972	52.1575,4.487778
Q1537993	
Q1537996	
Q1538	18.519574,73.855287
Q1538005	
Q1538017	
Q153803	
Q1538061	
Q1538073	53.84399482,-1.12961769
Q153809	47,11
Q1538124	
Q153813	
Q1538148	57.7021724021048,-3.37126242752107
Q153815	
Q1538163	
Q1538219	
Q153826	
Q1538285	53.3429,-6.3
Q15383322	
Q1538336	
Q15383394	
Q1538341	
Q1538358	54.6365,-3.5549
Q153838	
Q1538389	52.384411,4.900594
Q1538410	
Q1538439	
Q1538443	
Q15384699	
Q15385	42.446666666667,1.9527777777778
Q1538552	
Q1538594	41.897305555556,12.486555555556
Q1538604	
Q153867	
Q1538721	
Q1538727	
Q1538734	
Q153875	
Q1538785	
Q1538826	48.866111111111,2.3552777777778
Q1538846	27.947777777778,-12.923333333333
Q15389103	
Q1538926	
Q1538929	48.822222,2.338333
Q1538935	
Q153899	
Q1538992	
Q1539016	
Q1539060	
Q15390704	
Q1539077	34.22515,-118.06440277778
Q1539113	
Q15391457	
Q1539185	
Q1539188	
Q153920	
Q1539200	
Q1539207	
Q1539356	
Q153936	
Q153940	
Q153943	51.308457,9.499612
Q153946	
Q1539469	
Q1539509	
Q153956	
Q1539586	
Q153963	-6.8324,39.2672
Q1539648	
Q153965	
Q153969	47.545833333333,9.6838888888889
Q153974	51.266666666667,7.2
Q153975	
Q153978	48.525,9.059
Q153981	
Q1539837	
Q153987	47.994166666667,7.8469444444444
Q153988	
Q1539949	42.3361,-3.7202
Q154	
Q154001	47.663333333333,9.1769444444444
Q154003	
Q1540070	47.563722222222225,7.6065555555555555
Q154008	
Q1540080	
Q154010	
Q1540112	
Q154012	
Q154014	
Q15401633	
Q15401756	
Q1540185	
Q15401884	
Q15401930	
Q154020	
Q1540230	
Q1540242	
Q1540243	51.313217,1.364409
Q1540254	
Q1540276	24.57194444,-82.11944444
Q1540278	
Q15402866	
Q1540336	
Q1540369	
Q154037	
Q154038	
Q154041	
Q1540416	
Q1540429	
Q154045	
Q154048	50.7286,6.17806
Q1540498	7.4666666666667,80.616666666667
Q15405	
Q15405379	
Q1540545	
Q1540553	
Q1540578	
Q1540599	
Q1540613	49.62,70.12
Q1540642	
Q15406909	
Q15406933	
Q1540707	51.038168888889,3.722025
Q1540740	
Q1540750	
Q15407620	
Q15407649	
Q15407657	
Q15407956	
Q154083	
Q154084	
Q15408502	
Q15408503	
Q15408504	
Q1540863	
Q1540920	41.852013,12.520701
Q15409298	
Q1541	
Q15410008	
Q15410122	
Q154102	
Q15410360	
Q1541043	
Q15410461	
Q1541057	48.76,19.19
Q15410601	
Q1541071	
Q1541081	
Q15410863	
Q1541098	51.511944444444,-0.12166666666667
Q15411001	
Q15411019	
Q15411036	
Q1541108	
Q1541150	
Q1541185	
Q1541186	44.8425,-0.573611
Q1541206	
Q1541228	54.959,-1.438
Q1541229	
Q1541249	52.90916667,-4.46138889
Q1541422	
Q1541450	59.330556,18.075833
	59.33065,18.075819
Q1541460	
Q1541536	
Q1541582	48.365,10.8992
Q1541584	56.5896458747127,-3.99534292676208
Q15416	
Q1541614	
Q154168	
Q1541691	54.9213,-1.3754805555556
Q1541700	
Q1541712	43.3624372,-1.7914777
Q1541747	
Q1541751	50.783333333333,-0.96666666666667
Q154182	52.51666667,13.38333333
Q1541847	
Q1541904	
Q154191	
Q1541919	
Q1541947	
Q154195	48.13333333333,11.56666666667
Q1541981	
Q1541985	
Q154203	
Q1542119	
Q1542124	
Q1542129	
Q1542145	
Q1542147	
Q1542156	48.3678,10.8953
Q154216	
Q1542160	
Q1542163	
Q1542172	
Q1542180	
Q1542186	
Q1542199	
Q1542205	
Q1542218	
Q1542222	
Q1542301	
Q1542317	
Q1542338	
Q154234	
Q1542342	
Q1542343	
Q1542344	
Q1542347	
Q154235	
Q1542364	57.228,-2.988
Q1542366	
Q154242	
