Column 1	coordinate location
Q1	
Q100	42.358333333333,-71.0625
Q1000	-0.68333055555556,11.5
Q1000009	50.355555555556,2.7580555555556
Q1000013	
Q1000036	-49.6,-60.2
Q1000086	50.757681178047,14.555662165889
Q10001	52.25,6.2
Q1000101	49.706391051684,14.898853788831
Q1000104	
Q1000115	51.3177,0.8928
Q1000129	58.704857041804,15.809375882326
Q1000133	-33.666666666667,138.93333333333
Q10002	52.223611111111,6.8955555555556
Q1000212	
Q1000312	51.074,1.1454
Q100040	44.783333333333,11.133333333333
Q100041	44.783333333333,10.885
Q10004526	
Q100047	
Q1000479	42.3373,-71.106
Q1000511	26.166666666667,75.783333333333
Q1000597	52.801944444444,-1.6366666666667
Q10006	52.265555555556,6.7930555555556
Q10006388	
Q1000642	40.7156,-74.3647
Q100065	44.88727,11.06603
Q1000656	51.961,1.3576
Q1000662	52.6556,-0.4837
Q1000679	51.41,-0.84
Q10007123	
Q1000717	51.986,-2.136
Q1000740	53.699216666667,-0.86917222222222
Q10007629	
Q10008470	
Q1000863	
Q1000915	53.108,-1.561
Q100092	44.566666666667,11.033333333333
Q10009361	
Q1000970	
Q1001	
Q10010115	
Q1001037	
Q1001051	
Q1001099	
Q1001134	32.178888888889,-80.743055555556
Q1001146	
Q100116	
Q10011833	
Q1001190	
Q1001214	
Q1001294	-90,0
Q10012953	
Q100136066	
Q1001362	
Q100136951	
Q1001370	37.78664,29.25994
Q1001378	
Q1001388	
Q10014	52.555,5.9197222222222
Q10014029	
Q1001406	22.72275,114.24295
Q100141088	
Q100144684	
Q100145	45.497777777778,9.6430555555556
Q100145595	
Q1001456	39.887466,-83.445041
Q100145927	
Q100146759	
Q1001479	42.8941,-9.27109
Q10014809	
Q100151838	
Q1001536	50.628411111111,-3.3204694444444
Q100154169	
Q1001626	49.316666666667,-123.06666666667
Q100166	59,-3
Q100166391	
Q100166545	
Q100172	
Q1001789	59.34138889,17.89277778
Q100188	46.78,23.559444444444
Q1001891	43.510555555556,-70.445
Q1001918	
Q100193	45.633333333333,9.7666666666667
Q1001935	54.901388888889,-5.035
Q1001942	52.670555555556,-0.66666666666667
Q1001955	
Q1001995	-8.083,-79.119
Q100205538	
Q1002069	-16.583333,-68.866667
Q1002075	
Q100209	
Q1002098	45.945,4.7372222222222
Q100212002	
Q1002124	55.6749,-3.77702
Q1002133	55.998333333333,-2.5227777777778
Q1002140	-29.05527777777778,152.0177778
Q1002153	55.5708,-2.64583
Q1002157	53.333333333333,-6.35
Q1002159	56.745,-3.778888888888889
Q1002177	56.96,-2.21
Q1002178	
Q100218061	
Q1002185	
Q1002228	
Q100223784	
Q1002267	
Q100230935	
Q1002317	
Q100233841	
Q100233862	
Q100234184	
Q100235719	
Q1002362	
Q1002399	
Q100243350	
Q1002464	
Q100250171	
Q1002502	
Q100251245	
Q100251275	
Q100251915	
Q100252	
Q1002523	
Q1002557	34.82081667,36.11734444
Q1002624	59.85592376831,14.264050163874
Q100264092	
Q1002641	45.639444444444,-89.412222222222
Q1002645	40.8244,-74.4172
Q10026565	
Q100266015	
Q100268155	
Q1002697	
Q10027	52.2125,5.2861
Q1002709	
Q100271038	
Q100272072	
Q100274207	
Q100275927	
Q1002776	53.9706,-6.7149
Q100278113	
