Column 1	coordinate location
Q203403	45.2796,-66.0628
Q203415	
Q2034158	
Q203423	
Q203427	
Q2034290	51.377,-1.063
Q203432	45.905833333333,2.0338888888889
Q2034331	44.41125,8.93212
Q2034358	
Q203440	
Q2034409	56.786343051522,15.125579669772
Q203443	
Q203447	39.1167,23.7167
Q2034500	53.019,-2.764
Q203453	
Q2034540	52.053,-0.027
Q2034575	-43.304722222222,172.58916666667
Q2034582	
Q2034654	41.92247,12.452477
Q2034661	
Q203470	
Q2034707	34.7325,-120.56805555556
Q203478	
Q203480	
Q2034807	
Q2034824	
Q2034927	
Q203493	44.416666666667,26.1
Q203494	
Q2034945	41.903333333333,12.455
Q2035000	
Q2035019	51.5133,-0.136667
Q2035037	
Q203505	63.1833,14.6667
Q203507	
Q203509	60,18
Q203514	
Q203516	
Q20352	53.364722222222,13.063611111111
Q2035276	
Q203529	46.674444444444,5.5538888888889
Q2035314	
Q2035320	54.5398,-0.7766
Q203535	
Q2035357	
Q2035359	51.76315,-1.262903
Q2035368	52.939166666667,-4.1447222222222
Q203545	
Q2035462	
Q203549	
Q2035496	
Q203550	
Q2035515	19.006666666667,-98.996944444444
	19.00917,-98.99715
Q203552	
Q2035529	
Q2035550	
Q2035565	
Q2035630	
Q2035668	
Q2035679	
Q2035691	
Q2035701	
Q2035732	52.317,1.6
Q2035756	4.4,-16.7
Q2035820	53.797,-2.311
Q20358335	
Q2035846	
Q203585	
Q2035885	51.333333333333,0.13333333333333
Q2035924	
Q203597	
Q2036003	
Q203603	
Q203605	
Q2036052	51.559722222222,-0.15972222222222
Q2036076	
Q2036084	
Q2036106	
Q2036189	
Q2036192	
Q2036194	
Q2036212	
Q203622	
Q203623	
Q2036318	
Q2036412	
Q203643	
Q203645	46.781111111111,4.8538888888889
Q203647	
Q2036496	
Q203651	
Q2036539	
Q203659	
Q2036617	
Q2036652	
Q203673	
Q2036793	26.948888888889,-80.074722222222
Q203681	39.3,22.38333333
Q2037004	
Q2037015	
Q2037030	
Q2037125	
Q203719	
Q203720	
Q2037215	
Q2037236	
Q2037255	39.86555556,-4.02416667
Q203729	34.555487,36.498028
Q203736	
Q2037395	
Q203741	42.571111111111,-5.3027777777778
Q203751	24.1,32.7
Q2037513	41.005,-73.668888888889
Q203758	
Q203765	44.94722222,1.10694444
Q2037657	
Q2037665	
Q203768	
Q2037687	51.958880555556,0.99341111111111
Q203775	
Q2037780	
Q20378	
Q2037801	
Q2037863	
Q2037874	60.16166667,24.93805556
	60.1608531181,24.9366786292
Q203788	
Q203789	
Q20379	
Q2037910	
Q2037916	50.8822,12.0642
Q2037944	
Q203797	47.0739,15.3913
Q20379953	
Q2037998	55.858333333333,-3.1694444444444
Q2038	
Q203801	
Q2038032	
Q203804	
Q203805	
Q203808	
Q2038126	
Q203817	43.36666667,27.11666667
Q2038175	
Q203821	
Q2038222	
Q203824	
Q2038243	53.692,-1.633
Q2038247	
Q2038250	
Q2038269	51.513107,-0.113898
Q203828	
Q2038283	53.076754,5.793829
Q203829	
Q2038317	
Q203835	60.866666666667,14.733333333333
Q2038379	57.6421777937561,-2.82437763903344
Q2038386	
Q203840	
Q2038426	
Q203851	
Q203854	48.5193,9.05568
Q203861	
Q2038616	
Q20387	43.816666666667,11.066666666667
Q203872	
Q2038886	29.903944,31.194195
Q203889	51.87833333333333,-0.4147222222222222
Q20389	43.927777777778,11.04
Q203895	
Q2039056	50.591411111111,-4.1205111111111
Q203906	
Q2039075	40.7997,-73.65
Q20391	
Q203910	
Q2039194	
Q2039231	
Q20393	
Q2039332	
Q2039348	
Q20394	
Q203943	
Q20395	37.48373,127.032441
Q203950	36.183333333333,-6.0333333333333
Q2039513	
Q203958	
Q2039629	
Q203968	
Q203975	40.826367,14.190008
Q203979	36.733333333333,24.416666666667
Q20398	37.496666666667,127.0275
Q203983	55.673611111111,12.568333333333
Q203987	
Q203989	
Q2039893	
Q203990	
Q203992	
Q2039931	23.11666667,-82.35
Q203995	51.53789,0.71377
Q204	
Q2040000	52.082139,4.315465
Q2040005	
Q2040012	51.481785,-0.181
Q2040099	
Q204010	51.500944444444,-0.17743611111111
Q2040100	39.589514,-0.3057922
Q204011	
Q2040291	
Q2040293	
Q2040343	
Q2040404	
Q204043	
Q2040545	
Q2040652	
Q2040905	
Q2040910	
Q2040990	
Q2040992	
Q204100	
Q20410033	
Q2041005	48.8914,2.24583
Q2041007	51.164,0.553
Q2041013	
Q2041029	
Q204105	
Q204107	
Q2041117	51.248,-0.267
Q2041172	
Q2041270	30.0428,31.2578
Q204129	48.170694,16.246174
Q20413	43.4574214,12.2403118
Q2041317	
Q204148	
Q2041508	
Q204151	40.556944444444,-74.283055555556
Q204157	
Q2041693	51.20738888888889,4.3902222222222225
Q204170	
Q2041743	
Q204179	
Q204181	58.38111111111111,26.720277777777778
Q2041929	
Q204194	
Q2041976	43.6169,-88.4911
Q2042	
Q204200	31.52467222222222,35.11075833333334
Q2042013	51.77,5.5747
Q204212	
Q204213	
Q2042148	51.91556,4.47667
Q204218	
Q204221	
Q204231	
Q204234	52.033333333333,-0.76666666666667
Q2042353	
Q204239	51.85,4.5333333333333
Q204245	18.918611111111,-99.234166666667
Q2042487	
Q2042538	
Q2042566	
Q204260	
Q20426323	
