Column 1	coordinate location
Q4288619	55.746797,37.603214
Q42886742	
Q42887056	
Q42887393	51.4146,-2.1172
Q42887492	
Q42887496	
Q428875	
Q42887914	
Q42888045	
Q42888067	50.365,-4.892
Q4288844	
Q428885	
Q428887	
Q4288875	
Q42889	
Q42889224	
Q42889433	
Q42889434	
Q42889517	
Q42890983	
Q42891	
Q428912	
Q428914	
Q42892041	
Q4289277	
Q428935	
Q4289724	
Q42897253	
Q428977	
Q42898444	
Q42899294	
Q428995	
Q4290	
Q4290040	
Q42900490	
Q42901167	
Q4290192	41.3113,-72.9291
Q42902	45.489969444444,9.2953305555556
Q42902040	
Q42904171	
Q4290523	
Q429063	15.15,76.933333333333
Q429066	
Q42907	45.466666666667,8.9833333333333
Q429072	
Q4290780	
Q42907814	
Q42908	
Q42909	
Q4290953	
Q429127	
Q429136	
Q42915594	
Q4291728	
Q42918	
Q429192	37.175986111111,-3.5990361111111
Q429207	
Q4292134	
Q4292136	
Q42924	45.466666666667,8.9166666666667
Q429264	
Q429290	
Q42929138	
Q42930	
Q4293079	
Q429314	
Q429321	
Q429327	
Q42934	
Q42935438	
Q4293579	
Q42937	
Q4293754	52.340833333333,-8.8555555555556
Q429379	52.0542,-2.716
Q429399	
Q42941	27.18,78.02
Q42942	45.9581,9.3051
Q429425	
Q4294273	
Q4294287	
Q4294315	
Q4294339	
Q42944	46.234493,6.049129
Q4294412	
Q4294442	
Q4294470	
Q4294472	
Q42945	45.25,10.666666666667
Q4294505	
Q4294658	
Q4294660	
Q4294667	55.75860556,37.611125
Q4294701	
Q4294734	
Q4294743	
Q4294744	
Q4294748	
Q42948	
Q4294919	
Q4295	
Q429535	
Q429540	51.537,-0.038
Q42954110	
Q429561	37.719166666667,-97.293055555556
Q429599	
Q42961155	
Q42962	
Q42962623	
Q429635	
Q429649	
Q4296515	
Q4296527	
Q42965339	
Q429655	38.40137778,-78.0658
Q429659	
Q42966	45.102474,10.483982
Q42967	
Q429680	
Q429681	
Q429687	40.787,-73.9754
Q4296894	51.385288888889,1.3721805555556
Q4296917	
Q4296937	
Q4296957	
Q42970	
Q429700	
Q4297162	
Q4297289	
Q42973	
Q429742	
Q42976	
Q429766	
Q429785	
Q42979	
Q42979212	
Q429795	
Q429802	
Q429823	
Q429832	38.01909,12.541711
Q42985	
Q429858	
Q429864	60.733333333333,24.766666666667
Q4298662	
Q429877	
Q429885	
Q42989	
Q4298914	
Q4298922	
Q42991	45.4,9.1333333333333
Q42995	
Q429959	
Q429967	
Q429969	
Q42998	
Q43	39,36
Q430016	
Q430018	
Q430021	
Q43003	45.216667,10.25
Q430032	
Q430034	
Q430035	
Q430053	
Q4300530	
Q43006	
Q4300665	
Q430076	
Q4301	-3.3666666666667,36.683333333333
Q43010	
Q4301081	
Q4301086	
Q43011	45.066666666667,10.583333333333
Q43013	
Q430136	
Q43014	44.999166666667,10.489722222222
Q43015	
Q430161	
Q430167	
Q430174	
Q43018	37.949722,27.363889
Q43019279	
Q4302276	
Q4302284	
Q430258	
Q430259	
Q430267	48.750277777778,-122.475
Q43027	
Q4302809	
Q4302930	
Q4303156	-31.8025,115.885
Q430316	32.678055555556,-117.09916666667
Q4303218	
Q4303265	
Q4303335	
Q4303352	
Q430349	35.689444444444,139.695
Q43035	
Q430359	
Q430369	
Q43037	45.803888888889,9.3316666666667
Q430371	
Q430381	51.686,-9.792
Q4303894	55.7217,37.5809
Q4303904	
Q4303937	
Q4303976	55.760556,37.649167
Q4303980	
Q430400	
Q4304009	55.75188889,37.61697222
Q4304019	55.76169,37.603393
Q4304021	55.76,37.61333333
Q43040376	41.934653,-74.0206199
Q43041	
Q43042	45.483333333333,9.05
Q43044	
Q430454	41.698333333333,-3.9266666666667
Q430464	42.311330555556,-83.213480555556
Q430479	
Q43048	36.166666666667,28
Q4304815	
Q4304910	
Q4304979	
Q430502	
Q43051	
Q430525	
Q4305259	
Q43053217	
Q4305523	54.6229,-2.0779
Q43056	
Q430563	-12.258056,-76.9
Q430565	
Q43059	
Q430596	
Q4306	
Q4306036	
Q4306068	53.399,-2.992
Q4306104	39.8699,-75.593
Q43061449	54.336916666667,10.133194444444
Q430632	43.406111111111,-0.85388888888889
Q4306366	-37.9305,144.749
Q430642	
Q43065	
Q4306553	
Q43065561	
Q43065851	
Q4306609	40.7346,-73.9885
Q43066161	
Q43066681	
Q430667	
Q4306676	
Q43067	
Q4306757	
Q43067961	
Q430682	51.491,-0.127
Q430692	
Q43070	48.008888888889,37.804166666667
Q430705	
Q430720	
Q430726	
Q430727	
Q430728	
Q4307407	33.491944444444,-105.38388888889
Q430745	
Q43075535	
Q43076469	
Q430767	
Q430775	
Q430776	32.702102777778,35.29785
Q43079255	
Q43079563	
Q43079565	
Q4308	
Q43080	
Q43080227	
Q430804	
Q430812	51.1886,3.2117
Q4308215	
Q430822	
Q430829	
Q43085	45.533333333333,9.4833333333333
Q43085092	35.33861111111111,25.133055555555554
Q430877	35.704319,139.751939
Q4308783	
Q4308791	
Q43088	
Q430885	48.7825,3.3052777777778
Q430897	
Q430899	
Q43090	45.6,9.5166666666667
Q430909	
Q430910	
Q430911	
Q4309338	
Q430943	
Q43095928	
Q43096299	
Q430964	
Q43096400	
Q430970	
Q4309761	
Q430977	
Q4309861	
Q43099	
Q43099500	
Q430999	
Q431	
Q43100	34.5,76
Q4310096	
Q43100963	
Q43101	
Q43101129	
Q431012	
Q4310167	
Q43103	
Q431040	
Q431048	37.618347222222,13.440508333333
Q431052	
Q43106	-11.3702,24.3083
	-18.5706,36.4703
Q431085	
Q4310949	
Q431112	
Q431115	
Q431117	
Q43111807	
Q43111921	
Q43112023	
Q431121	
Q431122	
Q4311259	
Q431137	
Q4311490	
Q43114927	
Q43115	
Q4311529	32.116666666667,77.166666666667
Q43116871	
Q4311712	
Q4311715	
Q4311720	
Q431174	
Q431176	
Q4311765	
Q431177	
Q4311793	
Q4311845	
Q431192	
Q431193	
Q431196	
Q431223	
Q43122335	
Q431239	
Q4312433	
Q431244	
Q431252	
Q43126620	
Q43126758	
Q43127279	
Q43127934	
Q43128173	
Q431289	
Q4312969	
Q43131644	
Q43131686	
Q43131756	
Q4313186	
Q43132428	
Q431326	48.89277778,2.23947222
Q43132950	
Q4313299	
Q4313302	
Q4313305	
Q4313306	
Q4313324	
Q4313327	
Q4313359	
Q43133623	
Q43133666	
Q4313436	
Q431355	
Q431356	
Q43135955	
Q431363	
Q43136848	
Q431375	
Q43137546	
Q4313794	
Q43137978	
Q431382	32.745,35.338333333333
Q431402	
Q431404	
Q4314060	
Q431415	
Q431431	52.25944,5.22222
Q43144845	
Q43144903	
Q4314518	
Q4314748	
Q4314784	
Q43148381	51.5163,-0.1439
Q431485	
Q4314860	
Q43148644	
Q43148666	
Q43148668	
Q43148675	
Q43148678	
Q43148682	
Q43148688	
Q43148690	
Q43148695	
Q43148700	
Q431488	51.583333333333,4.7833333333333
Q43150195	
Q431503	
Q4315048	
Q431518	
Q431524	
Q431529	
Q431531	
Q431535	
Q431538	
Q431576	
Q4315823	
Q431583	7.95,117.02
Q431593	
Q431603	
Q431607	
Q431614	
Q4316318	54.3495,-3.40614
Q43164	
Q4316425	
Q431668	
Q43169	
Q431691	
Q43170820	
Q43170859	
Q4317231	
Q43173	
Q431732	
Q43173237	
Q431747	
Q431758	
Q431768	
Q43177	
Q431790	
Q431799	50.184,-5.44
Q43182	
Q43182520	
Q43183	
Q4318321	
Q43183233	55.77106,-2
Q43185013	
Q4318523	43.470919444444,-79.696088888889
Q43185924	33.791655,-84.325968
Q431863	
Q4318653	56.32956,44.0064
Q4318679	
Q43187359	
Q431895	
Q43189773	
Q43190099	
Q43191861	
Q43191920	
Q43192	
Q43192208	
Q43193	
Q431932	33.133611111111,-107.25277777778
Q43194	24.5,101.5
Q431942	
Q43195	46.3173,6.9646
Q43195708	
Q43195791	
Q43196	39.1,-84.5125
Q43197	
Q43199	41.266666666667,-96.016666666667
Q431992	
Q432	
Q432021	
Q43202765	
Q43203	
Q43203929	
Q432078	
Q4320785	
Q432088	
Q43208872	
Q4321	
Q432101	
Q432129	
Q43213808	
Q4321471	
Q432152	39.74,-121.83555555556
Q43215379	
Q43216	
Q4321814	
Q432189	
Q4321951	55.769722222222,37.659444444444
Q432203	
Q43223030	
Q4322399	
Q4322431	
Q4322435	55.757638888889,37.628444444444
Q432244	
Q432246	
Q4322567	
Q432266	
Q4322717	
Q43229	
Q432316	
Q43233	-19.71,-40.48
Q432351	
Q432357	
Q432362	
Q43238	
Q432386	
Q4323994	
Q432422	55.9257,-3.14089
Q43247	
Q432475	-43.52333333333333,172.58194444444445
Q432492	
Q43249384	
Q43249393	
Q43250	52.507222,13.3825
Q43250990	
Q43251	46.433333333333,6.25
Q4325154	
Q43251549	
Q43252	
Q432524	
Q432526	
Q4325320	
Q43253971	
Q432556	32.954722222222,-105.74055555556
Q432562	
Q432565	
Q432573	
Q4325748	
Q4325894	56.066666666667,39.05
Q43260428	
Q43261	
Q43263	
Q432632	39.1495517,-77.0269221
Q432637	38.900833333333,-77.050833333333
Q432641	39.348611111111,-77.1775
	38.318888888889,-76.405
Q43265577	
Q43266	49.5,17
Q43267	
Q432681	37.509166666667,13.088888888889
Q432694	
Q4326954	
Q43270	
Q43270746	
Q4327086	
Q432709	
Q432717	
Q432735	
Q43274	
Q432752	
Q432762	
Q432764	
Q4327689	
Q432777	
Q43278	-17.924777777778,25.858055555556
Q43279	51.555555555556,-0.27972222222222
Q432790	
Q43282531	
Q4328346	40.7427,-74.1718
Q43283497	
Q4328352	
Q4328388	
Q4328435	
Q43287	52.5167,13.4
Q4328809	
Q43290	
Q432903	47.3635,9.69597
Q432919	
Q43292	
Q43292002	
Q432924	
Q4329292	
Q43293	
Q432938	
Q43294135	
Q43296435	
Q43296860	
Q43297	
Q4329700	
Q4329709	54.91638194,-2.96414
Q4329955	51.52494444,-0.15461111
Q4329979	33.900544444444,35.479802777778
Q4329985	41.9225,12.4525
Q43300	
Q43301	36.781666666667,-119.79222222222
Q43302083	
Q4330218	
Q4330219	
Q4330221	
Q43302471	
Q43302485	
Q4330291	
Q43303	
Q4330301	
Q4330307	51.524,-0.681
Q4330326	
Q433044	
Q43304442	
Q433049	
Q4330518	
Q433053	
Q433060	
Q433067	
Q43310	
Q433103	
Q4331122	
Q4331509	
Q433161	
Q433189	
Q433192	
Q433205	
Q433208	
Q4332090	60.75722222,30.09666667
Q4332239	
Q4332480	53.846,-1.954
Q4332537	
Q43327	
Q433293	
Q433304	
Q43332	40.750556,14.489722
Q43334	
Q433343	
Q433352	
Q43338	
Q433384	
Q43338988	
Q433397	
Q433401	
Q433403	
Q433405	
Q43341	
Q433417	
Q43343	
Q433439	
Q4334652	
Q433489	
Q4334890	
Q433519	
Q433522	
Q4335297	
Q433532	
Q4335750	
Q433579	
Q4335792	
Q433587	
Q4335871	
Q4335877	
Q4335885	
Q4335886	
Q4335887	
Q4335888	
Q4335893	
Q4335896	
Q43359	
Q4335902	
Q4335903	
Q4335906	
Q4335911	
Q4335918	
Q4335924	
Q4335936	
Q4335954	
Q4335955	
Q4335968	
Q4335976	
Q4335990	
Q4336014	
Q4336018	
Q4336020	
Q43361	
Q43364399	
Q433683	
Q43369882	
Q43369886	
Q43370	
Q433701	34.188611111111,-118.13472222222
Q43371068	
Q433717	
Q43373437	
Q43373553	
Q4337374	58.38,26.7225
Q4337376	58.38,26.7225
Q4337386	50.45,30.523611111111
Q4337395	49.841888888889,24.0315
Q43374	56.426388888889,-5.4847222222222
Q4337408	-34.866944444444,-56.166666666667
Q4337410	36.9,21.683333333333
Q4337412	59.379166666,28.200555555
