Column 1	coordinate location
Q279202	
Q27920423	
Q27921516	
Q27921525	
Q27921686	
Q2792177	
Q27921847	
Q27921916	
Q27922009	
Q27922184	
Q27922408	
Q27922653	
Q27922656	
Q27922657	
Q2792320	52.271302777778,-2.2287111111111
Q27923254	
Q279235	
Q27924335	
Q27924370	
Q27924374	
Q27924377	
Q27924386	
Q27924409	51.52715,-0.13329
Q27924622	
Q27924885	
Q27924990	
Q27925057	
Q2792535	54.891,-2.934
Q2792545	
Q27926256	
Q27926262	
Q27926263	
Q27926580	6.9166666666667,79.833333333333
Q27926859	
Q27926883	
Q27926942	
Q279272	
Q27927525	
Q27927530	
Q27927537	
Q27927549	
Q27927568	
Q27927630	
Q27927649	
Q279283	
Q27928377	
Q27928381	
Q2792936	
Q27929541	-8.0538888888889,-34.880833333333
Q2793	
Q2793027	
Q2793517	
Q27937	54.916666666667,8.3333333333333
	54.66112,8.44299
Q279373	45.883333333333,11.034166666667
Q279378	
Q279382	
Q27939	
Q2793923	50.8367,3.6189
Q2793926	
Q279397	
Q279398	51.5078,-0.0761111
Q27940506	
Q27940508	
Q27940511	
Q27940515	
Q27940516	
Q27941336	
Q27941854	
Q27942755	
Q27943246	
Q279433	
Q27943364	
Q27943370	
Q27943388	
Q2794382	51.453,-0.102
Q279446	
Q2794660	
Q27947515	
Q27948	
Q2794836	
Q2794866	
Q27948963	
Q27948964	
Q27948986	
Q27949260	
Q2794956	
Q27949605	
Q27949627	
Q27949697	
Q27949768	
Q27949886	
Q2795	50.833333333333,12.916666666667
Q27950790	
Q27951118	51.51066944,-0.08382778
Q27951399	
Q27951514	
Q279520	
Q279525	
Q2795382	51.0333,4.4169
Q27954168	
Q27954955	
Q27955543	
Q2795593	
Q27956556	
Q27956904	
Q27957185	
Q27957417	51.94452,1.2901
Q27957424	51.442,0.753
Q27957429	55.83326,-4.22359
Q27957470	
Q27957605	39.9551,-75.1658
Q27957609	
Q27957674	55.83205,-4.18552
Q27957694	
Q27957773	38.880277777778,-6.9752777777778
Q27957904	
Q27958075	53.5096,-2.5938
Q2795827	
Q27958312	
Q27958363	55.8333,-4.17641
Q27958512	56.45777778,-2.97861111
Q27958678	51.5125,-0.1126
Q27958713	
Q2795880	54.559269444444,-1.301
Q27958841	
Q2795960	51.289,-0.354
Q2796	
Q279605	-23.50833333,-46.62361111
Q2796076	55.0333,-2.1333
Q2796094	51.4328,-0.0194
Q27961004	41.89083333,12.47694444
Q2796209	53.175,-3.337
Q27962176	
Q27962196	
Q27962204	
Q27962741	
Q2796278	51.027,1
Q27963734	31.224444444444,121.52833333333
Q27965068	51.5587,-0.285
Q27966197	
Q2796641	48.846667,2.361667
Q27966658	
Q27967151	
Q2796741	51.745,-1.776
Q2796766	
Q27967923	
Q27968	
Q27968055	
Q2796839	-37.8168,144.9622
Q27968464	0.16,35.2
Q27969157	
Q2796929	51.799,1.08
Q27970162	
Q2797168	54.572538888889,-1.9832
Q27971968	
Q27972157	
Q27972176	
Q279724	69.680511111111,18.973133333333
Q27972751	
Q27972782	54.24231,18.80392
Q27973151	50.82802,12.91755
Q27973249	
Q27973511	
Q279744	
Q2797445	
Q27974619	50.08462,14.418756
Q27974865	
Q27975214	
Q27975220	
Q27975221	
Q2797540	
Q279756	
Q27976507	
Q2797708	
Q27977663	51.507319,-0.165612
Q2797842	53.486838888889,-0.84618888888889
Q27978762	
Q27978768	
Q27978782	
Q27978784	
Q27978788	
Q27978789	
Q27978791	
Q27978794	
Q27978799	
Q27978804	
Q27978810	
Q27978848	
Q27978850	
Q27979021	
Q27979156	
Q27980102	
Q27980174	
Q2798051	51.244,0.004
Q27980522	
Q27981037	
Q27981532	
Q27981723	
Q27981978	
Q2798268	51.366667,6.171944
Q2798332	50.833333333333,-2.45
Q27983583	
Q27983853	36.81277778,-93.69027778
Q2798389	
Q27985123	
Q279859	51.5153,-0.0972
Q2798620	
Q2798738	33.757916,-84.394775833333
Q27988140	40.73533888888889,-73.9970388888889
Q2798820	
