Column 1	coordinate location
Q52564637	
Q52564882	
Q5256603	
Q5256614	52.01,-0.744
Q5256622	53.1876,-3.4122
Q5256625	53.125,-3.406
Q5256629	
Q52567864	
Q525700	
Q5257004	
Q5257078	
Q525710	
Q5257199	
Q5257201	
Q5257288	
Q5257299	
Q5257307	
Q525738	
Q5257425	
Q5257473	
Q5257482	
Q5257537	
Q525755	
Q5257583	
Q5257639	
Q525775	40.7955,-74.1618
Q5257751	
Q525777	
Q5257869	
Q52579	
Q5257913	
Q5257939	51.4678,-0.0902
Q52581299	
Q5258157	
Q5258259	
Q5258374	
Q525841	56.280833,-3.7525
Q5258455	
Q5258496	
Q5258514	
Q525861	
Q5258628	
Q52586379	
Q5258668	
Q5258688	
Q5258763	
Q5258868	
Q5258881	
Q525891	48.858889,2.350556
Q5258974	
Q5259129	55.8609,-4.2161
Q5259130	
Q5259309	
Q52593600	
Q5259365	
Q5259406	
Q5259416	
Q5259421	
Q5259432	
Q5259487	
Q5259644	
Q525965	
Q5259666	53.315,-0.948
Q5259689	39.744623,-104.998476
Q525970	
Q52597149	
Q525981	39.103333333333,-94.420833333333
Q5259820	51.6109,-0.43937
Q5259863	
Q5259864	
Q5259911	
Q526004	
Q5260046	
Q52600648	69.666666666667,22.5
	70.08225,29.73029
Q526010	
Q5260106	
Q5260120	
Q526016	
Q5260160	51.7594,-1.2546
Q5260163	
Q5260185	
Q5260192	
Q5260200	51.7597,-1.2584
Q5260236	
Q526024	
Q52603	35,-5.9
Q5260328	
Q5260336	52.2026,0.1192
Q526035	
Q5260355	
Q5260372	
Q5260390	52.2036,0.1201
Q5260457	
Q5260476	
Q526048	
Q5260487	
Q5260488	
Q5260501	55.788,12.5209
Q5260539	
Q5260688	
Q5260792	
Q52609280	32.231046750000004,-110.94940539999999
Q5260949	51.4865,-0.0276
Q5260953	51.4824,-0.0203
Q5261028	
Q5261043	
Q5261044	
Q5261047	
Q5261062	
Q5261065	
Q5261131	
Q5261137	
Q52612786	
Q526128	
Q5261284	
Q5261411	
Q5261424	52.906,-1.459
Q5261430	
Q5261464	52.9247,-1.48778
Q5261495	
Q5261507	52.9202,-1.4766
Q5261517	52.9202,-1.4715
Q5261524	
Q5261527	52.9211,-1.47344
Q526169	-4.9166666666667,29.683333333333
Q526170	41.221383,1.729494
Q52618	
Q5261817	
Q5261826	
Q526185	
Q5261860	
Q5261916	
Q5261952	
Q5261969	
Q5262	47.57942,7.65117
Q526206	
Q5262138	
Q5262172	
Q5262179	
Q5262193	
Q5262243	
Q5262256	
Q5262277	
Q5262310	
Q5262311	
Q5262360	
Q5262433	
Q5262475	
Q5262480	
Q5262556	51.7054,-3.2676
Q5262646	53.549,-2.0973
Q526305	
Q5263067	
Q52631	38.98,1.43
Q526310	46.16083333,6.92305556
Q5263135	50.4162,-4.1141
Q5263169	
Q5263176	
Q5263278	
Q5263315	53.0333,-3.4
Q5263319	
Q5263323	
Q5263331	
Q526334	
Q5263351	53.9629,-1.0096
Q5263352	53.0832,-1.5041
Q5263354	
Q5263356	
Q5263359	54.9477,-1.7017
Q5263369	
Q526337	52.666666666667,11.55
Q5263373	
Q5263473	
Q5263501	41.583888888888886,-93.68166666666667
Q5263540	
Q5263573	
Q526359	
Q52636	39.966666666667,4.0833333333333
Q5263652	51.3828,-0.4439
Q5263805	
Q526381	41.9064,12.4546
Q5263821	
Q5263872	
Q5263876	
Q5263889	
Q5264	
Q526416	37.02255,-7.94323
Q5264257	
Q5264271	
Q5264275	
Q5264286	
Q5264295	
Q52643	
Q5264305	
Q5264330	
Q5264340	
Q5264369	
Q5264406	
Q5264409	
Q5264432	
Q5264433	
Q526451	50.633333333333,11.166666666667
Q5264536	
Q5264686	
Q526470	
Q5264725	
Q5264747	
Q5264790	
Q5264797	
Q526492	
Q5264946	
Q5265000	
Q5265065	
Q52651	
Q5265142	
Q5265299	
Q5265313	
Q526538	
Q5265638	
Q5265747	
Q526576	58.596111111111,-3.5211111111111
Q5265854	42.4969,-83.0417
	42.49926,-83.02893
Q5265919	
Q526595	48.886666666667,2.3408333333333
Q526615	
Q52661516	
Q526625	
Q526637	43.770277777778,11.250833333333
Q526645	
Q52665	
Q5266682	
Q5266727	
Q526673	
Q5266783	
Q5266787	
Q5266877	42.537222222222,-71.615555555556
Q5267	43.583333333333,43.4
Q5267014	
Q52670265	
Q52670593	
Q52670659	41.49934,2.09623
Q5267072	52.3761,-3.85408
Q526709	
Q5267128	54.2542336,-4.6274864
Q5267330	
Q5267401	
Q52674920	
Q5267717	
Q5267758	
Q526776	-4.2375,152.21111111
	-4.6397222222222,151.98472222222
Q5267837	50.376,-4.174
Q5267865	51.5073,-0.142756
Q5267882	51.526,-0.047
Q526804	51.5025,-0.15083333333333
Q5268049	
Q52682249	41.500157,2.111709
Q52682700	41.502949,2.107564
Q526863	
Q52687380	
Q52687387	
Q52687395	
Q5268747	42.2168757,-78.2494658
Q52687471	
Q526877	
Q5268834	
Q52688389	
Q526909	52.4108,13.0989
Q526929	46.5613694,3.3186944
Q526942	
Q526943	
Q526966	
Q5269691	
Q5269701	
Q52699	46.466666666667,7.1166666666667
Q527	
Q527001	
Q5270118	
Q5270141	
Q5270160	
Q527029	52.40222,13.01889
Q52704264	
Q52704323	
Q5270450	
Q52704923	
Q5270553	
Q52705852	
Q5270756	-37.671,145.155
	-37.66667,145.15
Q5270771	
Q5270866	
Q5271054	53.545,-0.0952778
Q5271070	
Q5271092	
Q5271097	
Q5271132	
Q5271173	
Q5271181	
Q5271197	
Q5271247	
Q5271278	
Q5271347	
Q5271359	
Q5271360	
Q5271369	
Q5271384	
Q527156	
Q52715660	
Q52719683	
Q527198	
Q5271998	
Q5271999	
Q527201	
Q5272180	
Q5272184	
Q5272248	50.8689,-1.4196
Q527229	
Q5272346	
Q527240	
Q527260	52.394722,13.060556
Q5272604	
Q5272645	
Q5272758	
Q5272821	
Q5272979	
Q527303	
Q5273047	55.6083,-4.48972
Q52731417	53.424722222222,14.555277777778
Q5273202	
Q5273325	
Q527341	
Q5273413	51.746944444444,-1.2391666666667
Q5273426	
Q5273476	
Q5273485	
Q5273547	
Q5273605	
Q5273695	
Q5273743	
Q5273762	
Q5273795	41.413588,-75.662181
Q5273853	
Q5273898	51.4988,-0.0901
Q527391	54.088,-0.2004
Q527395	
Q5273957	
Q5273969	
Q5274024	
Q5274065	
Q5274102	
Q5274119	
Q527420	
Q5274204	
Q527423	53.683333333333,-2.25
Q5274238	60.18527778,24.85638889
Q527431	
Q527442	
Q5274428	
Q5274463	
Q5274468	
Q527467	53.29,-3.7
Q5274855	
Q5274945	
Q5275	
Q52753686	
Q5275430	
Q5275561	52.476388888889,-1.8908333333333
Q5275579	
Q5275582	44.5283,-66.0463
Q5275585	
Q5275595	53.0809,-0.3774
Q5275671	53.5685,-1.9952
Q5275698	
Q5275718	
Q5275837	
Q5275861	
Q527588	
Q5275906	
Q5275956	
Q527598	
Q5276021	
Q527610	47.883888888889,8.3436111111111
Q5276177	
Q5276207	
Q527628	
Q5276297	52.1834,-2.2206
Q5276298	52.1834,-2.2206
Q5276373	51.818333333333,-0.19472222222222
Q5276395	
Q5276571	
Q5276747	
Q52768654	
Q5276894	
Q5276955	51.522333333333336,-0.1322388888888889
Q5277069	54.9642,-2.03971
Q52770826	
Q5277107	
Q527711	
Q5277122	
Q527715	
Q5277153	
Q5277183	50.6756,-1.51528
	50.672403,-1.515497
Q5277221	
Q5277223	
Q52773	46.583333333333,6.6
Q527735	
Q527746	
Q527751	
Q5277542	
Q527765	
Q527769	42.7136,-73.9797
Q5277705	51.406111111111,-3.5011111111111
Q527778	
Q5277792	53.0293,-2.2261
Q527789	
Q5278193	51.79,-2.79
Q527825	44.4,-110.6
Q5278289	
Q5278296	
Q5278304	52.879619444444,1.3956111111111
Q5278332	
Q527834	
Q527846	53.781789,-1.070309
Q5278487	
Q5278497	
Q527869	
Q5278710	
Q5278734	53.4494,-1.9781
Q5278736	51.7973,-0.8915
Q527897	
Q52791258	
Q527971	
Q5279811	
Q5279879	
Q527994	
Q5280	
Q5280285	
Q528029	47.666666666667,9.3666666666667
Q5280292	
Q528042	43.812761,16.218756
Q52804230	
Q5280499	
Q5280514	
Q5280522	
Q5280566	
Q5280582	
Q528062	47.881388888889,7.7313888888889
Q528066	43.775,11.239
Q5280670	
Q5280673	
Q5280674	
Q5280675	
Q5280678	
Q5280707	
Q5280710	
Q528074	
Q528076	48.6075,9.1005555555556
Q528079	22.254105555556,113.90514444444
Q52807963	
Q5280819	
Q5280858	
Q5280893	
Q528095	
Q5280959	
Q5280996	
Q5281035	
Q5281119	
Q52811466	
Q52811528	
Q52811593	
Q52811646	
Q52811725	
Q5281176	
Q52811808	
Q52811947	
Q5281213	
Q528126	
Q528132	
Q52818	46.48432,6.78008
Q5281800	
Q528187	
Q5281891	
Q528209	
Q5282120	
Q5282128	
Q5282137	
Q528231	51.474269444444445,-0.03541111111111111
Q5282334	53.3717,-2.08583
Q52823554	
Q528241	
Q52825	
Q52825096	
Q528274	
Q5282744	
Q5282766	
Q52827884	
Q5282797	
Q5282955	
Q5282960	
Q5282976	
Q5282987	
Q5283	
