Column1	coordinatelocation
Q75791573	
Q75794	
Q7579580	
Q757963	35.13454,-90.05757
Q758	
Q7580	
Q7580001	
Q7580105	55.9722,-2.52417
Q7580141	
Q7580202	
Q7580205	
Q7580259	
Q7580682	40.7245,-74.002
Q75808	
Q7580824	55.8831,-4.22853
Q7580839	41.0878,-73.5242
Q75809	
Q7580904	44.633,-64.85
Q7580994	40.090833,-75.230833
Q7581108	53.7775,-2.80806
Q75812	
Q7581200	
Q75813	
Q7581317	
Q7581344	53.5083,-1.19834
Q75814	
Q7581703	
Q7581768	
Q75818	
Q7581803	
Q7582039	
Q7582210	
Q7582215	
Q7582234	51.2616,0.0641
Q758225	
Q7582259	
Q75822711	
Q7582286	
Q7582309	
Q75828	
Q758291	
Q7583	
Q75833854	
Q75835837	
Q7583727	
Q75837457	
Q758422	
Q7584266	
Q75848	
Q75848338	
Q758519	
Q75852678	
Q75853	
Q758542	38.898611111111,-121.07444444444
Q75855008	
Q758559	42.6875,-83.234166666667
Q7585597	
Q758562	
Q75856592	
Q75857972	
Q75858	
Q7585945	
Q7585951	
Q7585952	
Q7586	
Q7586020	
Q758610	52.0816,4.3275
Q758623	56.2932,-3.70614
Q758634	-36.873,174.755
Q7586463	
Q75865	
Q75865343	
Q758657	-36.8603,174.777836
Q75866751	
Q75868	
Q7586816	
Q75868284	
Q7586881	52.6311,1.2957
Q7586911	51.5124,-0.101277
Q7586979	50.8294,-0.156667
Q75871048	
Q758718	
Q758729	
Q758741	
Q758742	
Q758743	
Q758748	
Q758749	
Q758750	
Q758751	
Q758780	
Q758783	
Q7587830	52.3763,4.63435
	52.37627,4.63434
Q7587884	55.8574,-4.2553
Q7587917	52.83359444,-8.98338611
Q7588008	53.3827,-2.88028
Q7588083	51.517563888889,-0.12466111111111
Q7588107	51.4092,-0.0247141
Q7588178	12.02295,-61.76251
Q7588303	51.6167,-0.416667
Q7588436	53.4755,-2.2416
Q7588449	53.3666,-0.008
Q758847	
Q7588508	
Q7588581	51.689677777778,-1.6788722222222
Q758861	
Q7588614	26.0462,119.307
Q7588843	53.407,-2.981
Q7588872	
Q7588873	53.32947,-6.25068
Q7589	
Q7589033	44.418439,-72.021033
Q7589200	40.9294,-73.8978
Q758925	
Q7589476	43.6474,-79.3752
Q758949	52.020833333333,0.22055555555556
Q7589572	52.925,-105.808
Q7589579	
Q7589655	
Q7589720	
Q7589794	52.6665,-7.2644
Q7589798	53.635,-1.811
Q759	44,-71.5
Q7590	
Q75900	
Q7590025	51.5106,-0.127222
Q7590184	51.501413888889,-0.053938888888889
Q7590194	51.58507,-0.01187
Q759020	
Q75903	41.266666666667,69.216666666667
Q7590348	55.071701,-1.449599
Q7590464	51.5144,-0.081
Q7590557	51.5862,0.2921
	51.5864,0.292046
Q7590768	50.74,-1.27694
Q7590838	
Q7590878	52.5385,1.6243
Q7590892	51.53,-0.125278
Q75909	
Q7590902	52.8376,-6.927
Q7591320	53.3394,-6.26609
Q759158	23.333333333333,87.216666666667
Q7591619	55.872,-4.232
Q759169	52.161389,4.488889
Q75917	
Q7591864	51.5051,-0.088555
Q75920	
Q75921	
Q759210	
Q7592174	18.9432,72.8313
Q7592233	53.8126,-1.5207
Q7592245	51.5166,-0.0941096
Q7592248	-43.508,172.63
Q7592292	51.75,-1.25694
Q7592308	51.5698,-0.1388
Q7592359	54.923,-1.367
Q7592399	55.9535,-3.184
Q7592405	55.8549,-4.243
Q7592413	51.5173,-0.106618
Q7592414	51.519913,-0.113208
Q7592419	55.9542,-3.19306
Q7592452	51.5813,-0.0852
Q7592459	53.481666666667,-2.2458333333333
Q7592469	51.5011,-0.101944
Q7592480	51.5124,-0.1323
Q7592528	52.1168,1.3354
Q759253	
Q7592545	51.245,1.035
Q7592548	51.5478,-0.0547444
Q759260	
Q7592618	51.517922222222,-0.10065555555556
Q7592633	54.493777,-3.593461
	54.4939,-3.59355
Q7592647	51.5139,-0.0861111
Q7592669	50.3521,-4.7092
Q7592682	51.5167,-0.1
Q7592685	52.978611111111,-0.025833333333333
Q7592691	51.5167,-0.0816556
Q7592703	50.511,-4.854
Q7592712	51.513447,-0.105047
Q7592760	51.6706,-4.6919
Q7592791	52.7072,-2.75889
Q7592823	51.751,-1.241
Q7592828	51.753233,-1.237856
Q7592832	51.525833333333,-0.029444444444444
Q7592834	51.5138,-0.1158
Q7592860	51.4968,-0.163333
	51.49677778,-0.16333333
	51.496599,-0.16342
Q7592954	50.9238,-1.386
Q7592955	53.9567,-1.0762
Q7592958	51.5119,-0.0838889
Q7592977	51.4057,-3.5306
Q7592981	51.4749,-0.0277
Q7592985	53.7853,-1.7449
Q7593020	52.2044,0.118692
Q7593034	55.8573,-4.2537
Q7593101	51.4897,-0.142286
Q7593153	50.995893,-0.809682
Q7593156	51.4986,-0.105
Q7593167	
Q7593169	51.498611111111,-0.105
Q7593173	53.7925,-1.7511
Q7593174	
Q7593182	53.5256,-1.13537
Q7593186	51.4961,-0.10477
Q7593193	51.8223,-0.35367
Q7593197	51.488,-0.135
Q7593203	51.4586,-2.5385
Q7593223	51.5125,-0.143056
Q759324	
Q7593256	
Q7593268	51.758,-1.2601
Q7593276	50.9038,-1.9555
Q7593308	51.6676,-1.2829
Q7593309	51.5148,-0.0818
	51.5148,-0.0817331
Q7593324	54.637,-1.709
Q7593362	
Q7593367	51.3803,-0.1836
Q7593437	53.2241,-2.1661
Q7593470	51.5051,-0.1466
Q7593471	
Q7593475	51.506666666667,-0.13694444444444
Q7593481	
Q7593483	53.397461111111,-2.9729888888889
Q7593490	52.6647,-0.2559
Q7593501	52.635,1.3013
Q7593525	51.496,-0.12711111111111
Q7593537	54.7368,-2.18003
Q759359	
Q7593596	51.4089,0.2375
Q7593597	51.522019444444,-0.10280555555556
Q7593616	35.8975,14.5122
Q7593622	51.529915,-0.175325
	51.5305,-0.1743
Q7593626	
Q7593637	
Q7593638	
Q7593756	51.3083,-0.54909
Q759383	
Q7593886	51.5113,-0.0417717
Q7593906	-37.862,144.997
Q7593931	52.3683,-2.71861
Q7593938	51.5106,-0.0885
Q7593940	51.5676,0.684806
Q7593949	50.5864,-1.24194
Q7593954	50.588611111111,-1.2397222222222
Q7593974	51.5267,-0.0772
Q7593996	
Q7593997	51.063,-0.268
Q7594004	51.5152,-0.0966
Q7594017	50.852,0.53734
Q7594039	50.7231,-3.51722
Q7594042	51.4897,-0.1694
Q7594059	51.4325,-0.103611
Q7594066	51.5256,-0.0897222
Q7594071	51.5252,-0.0940583
Q7594088	51.509280555556,-0.086336111111111
Q7594108	52.6396,-1.13652
Q7594194	54.8912,-2.9206
Q7594202	51.5128,-0.1275
Q7594206	51.514,-0.101942
Q7594217	52.477,-1.8932
Q7594219	51.50888888888889,-0.12694444444444444
Q7594231	51.52,-0.161944
Q759425	51.23,-0.99
Q7594355	51.538413,-0.101794
Q7594396	52.951111,-1.142778
Q7594450	50.9542,-0.449273
Q7594465	51.591,-0.228724
Q7594482	-41.2756,174.7758
	-41.275812,174.775179
Q7594492	52.407666666666664,-1.507861111111111
Q7594496	50.7106,-1.3012
Q7594502	55.071666666667,-1.4497222222222
Q7594509	55.947222222222,-3.2205555555556
Q7594532	51.441,-2.008
Q7594547	52.061241,1.173628
Q7594548	51.510069,-0.08374
Q7594556	51.5022,-0.191667
Q7594557	51.5165,-0.0930722
Q7594570	51.5125,-0.0975
Q7594596	51.5163,-0.0686
Q7594599	51.4482,-2.5899
Q7594608	51.512780555556,-0.088108333333333
Q759462	
Q7594646	51.9429,0.0332
Q7594669	51.521275,-0.164042
Q7594675	-35.006,138.577
Q7594708	51.5253,-0.0672222
Q7594802	53.4892,-2.23556
Q7594836	51.5156,-0.0948611
Q75948499	
Q759486	
Q7594879	51.08555555555556,0.6958333333333333
Q75949	
Q7594917	50.8253,-0.144934
Q7594955	55.0063,-1.63475
Q7594990	51.5065,-0.0865
Q7595001	52.537,1.623
Q7595031	51.5133,-0.0919671
Q7595036	51.536111,-0.132222
Q7595040	51.527155555556,-0.13008055555556
Q7595047	51.6,-0.165
Q7595111	51.5138591,-0.0968205
Q7595163	51.5142,-0.0978
Q7595181	51.8811,-0.276111
Q7595182	51.8861,-0.266667
Q7595183	55.9566997066521,-3.1887119802694
Q7595193	53.7983,-1.5525
Q7595200	
Q7595217	53.5793,-2.423
Q7595221	50.8284,-0.134994
	50.8283,-0.134959
Q7595266	54.9131,-1.3749
Q7595324	51.377222,-0.526389
Q7595336	51.4919,-0.244
Q7595337	53.4778,-2.24361
Q7595346	51.7535,-1.2501
	51.7536,-1.25015
Q7595351	52.6278,1.2925
Q7595372	51.5132,-0.0845833
Q7595425	51.04888888888889,0.5346944444444444
	51.048843,0.534027
Q7595468	51.4994,-0.1252
Q7595498	51.5117,-0.0894444
Q7595547	50.716,-3.54
Q75955783	
Q7595600	51.5149,-0.0961333
Q7595605	-33.8692,151.224
Q7595610	51.4504,-2.5732
Q7595664	52.9148,-0.6407
Q7595666	50.8157,-0.0775
Q7595688	
Q7595716	
Q759578	
Q7595837	
Q7596	
Q7596283	
Q7596616	
Q7596624	51.5088,-0.140833
Q7596649	-41.3065,173.102
Q7596694	52.7995,-2.0138
Q7596704	
Q7596711	
Q7596748	51.596944444444,-0.27388888888889
Q759676	
Q7596808	
Q7596812	
Q7596819	
Q7596840	
Q7596879	
Q7596972	
Q7597005	52.7965,-0.65391
Q7597006	53.705,-1.647
Q7597040	51.4858,-0.503611
Q7597044	53.5965,-0.8528
Q7597062	54.509166666666665,-2.1891666666666665
Q7597122	54.5564,-0.79561
Q7597218	53.349,-2.908
Q7597339	53.4823,-2.0643
Q7597405	
Q7597411	51.5064,-0.109444
Q759769	
Q7597762	
Q75978	14.216666666667,121.16666666667
Q759783	
Q759784	
Q759787	
Q7597900	
Q7598	
Q7598017	53.83,-1.983
Q7598035	53.1721,-1.6012
Q7598125	
Q759815	
Q7598189	
Q7598233	
Q7598359	
Q759837	
Q7598447	51.1031,-0.0169
Q759853	
Q7598615	
Q7598635	53.5865,-2.66406
Q7598644	51.7594,-2.2663
Q7598721	
Q7598870	
Q7598871	
Q7598873	
Q7598928	
Q7598968	
Q7599155	
Q7599413	56.4862,-3.4439
Q7599444	
Q7599471	
Q7599507	
Q7599527	
Q7599582	
Q7599606	
Q7599611	
Q7599629	
Q7599653	
Q7599660	
Q7599670	
Q7599672	
Q7599677	
Q759969	
Q7599696	
Q7599725	
Q7599732	51.494680555555554,-0.10188055555555556
Q7599748	
Q7599768	
Q7599789	
Q75998229	
Q7599916	
Q7599926	
Q7599998	
Q76	
Q760	13.883333333333333,-60.96666666666667
Q7600	
Q760002	
Q7600029	
Q7600031	
Q7600032	
Q7600072	53.4146,-2.9299
Q7600128	53.807,-1.667
Q7600130	53.396,-1.536
Q7600303	51.9899,-1.9122
Q760037	
Q76004019	
Q7600438	
Q7600449	51.518,-0.111189
Q7600461	52.754,-0.795737
Q7600471	51.5718,-0.2287
Q7600519	
Q760054	
Q76005462	43.66638888888889,-79.3945
Q7600631	
Q7600642	51.5753,0.17953
Q7600666	55.8806,38.1105
Q7600677	
Q76007695	
Q7600780	
Q7600853	
Q760086	
Q760089	
Q76009696	
Q7601003	
Q760120	
Q7601589	
Q7602068	
Q7602075	
Q760211	
Q7602118	
Q7602224	
Q7602268	
Q7602329	
Q7602332	
Q7602347	
Q7602359	
Q7602386	
Q7602435	
Q76025521	
Q76025585	
Q76026	
Q7602664	
Q76028985	
Q7602996	
Q7603109	51.4775,0.321667
Q760318	
Q7603189	
Q7603366	38.94447222,-92.32602778
Q7603368	55.6954,-3.65455
Q7603398	30.43834,-84.284956
Q76034	52,-71
Q760340	
Q7603435	40.2658,-76.8852
Q760348	
Q7603552	
Q7603615	40.805277777778,-73.7925
Q7603627	43.4514,-76.544
Q7603696	
Q7603708	
Q7603898	
Q76039	
Q7603925	
Q7604	
Q760413	48.251944444444,2.4363888888889
Q7604245	51.4583,-0.974242
Q7604318	
Q7604348	
Q7604356	
Q7604556	
Q7604698	
Q76048	-5.85,13.05
Q7604803	
Q7604804	53.27,-1.3467
Q7604851	
Q7605329	-35.066064,138.865665
Q7605349	
Q7605359	
Q7605377	
Q7605378	
Q7605386	
Q7605390	
Q7605446	
Q7605485	
Q7605566	52.482777777778,-1.8069444444444
Q7605574	
Q7605588	51.686156,5.30392
Q7605593	50.9925,-0.77336
Q76055943	
Q7605613	
Q7605657	
Q7605875	
Q7605903	53.232684,-0.538439
Q7605979	53.896,-1.948
Q7606061	
Q760642	50.737456,7.086308
Q76065	
Q760673	
Q7606734	-37.866666666667,144.16666666667
Q760694	
Q7607	
Q760706	
Q7607100	
Q760714	25.25,87.016666666667
Q760720	
Q7607258	55.67843,12.57257
Q7607271	
Q760737	40.45722222,-3.58777778
Q7607454	
Q7607595	58.9858,-3.20833
Q760787	
Q7607936	55.95,-2.6
Q76079674	
Q7608043	41.7067,-86.2344
Q76082403	
Q76082407	
Q76082411	
Q76082415	
Q7608448	
Q7608536	
Q7608599	
Q76088864	
Q7608916	
Q7609	
Q7609007	
Q760904	
Q7609056	
Q7609103	
Q7609181	
Q76092	
Q7609225	
Q760926	40.825575,-73.8927
Q7609294	
Q7609398	
Q760940	
Q7609456	
Q7609470	
Q7609629	
Q7609630	
Q760967	52.205083333333,0.11519444444444
Q7609678	
Q7609680	
Q7609779	
Q7609902	
Q7609976	
Q7610007	
Q7610117	
Q7610233	
Q76102520	
Q7610256	
Q7610280	
Q7610338	
Q7610455	
Q761048	59.9075,10.74416667
Q7610566	
Q7610582	
Q7610658	
Q7610665	
Q761072	
Q7610727	
Q7610790	
Q7610823	
Q7610831	
Q7610860	
Q7610940	
Q7610961	
Q7610982	
Q7610987	
Q7610994	
Q7610998	55.0165,-1.49731
Q7611188	
Q7611212	
Q7611242	
Q76112498	
Q7611398	
Q7611400	
Q76114533	
Q7611458	
Q7611511	
Q7611546	
Q7611682	
Q7611689	
Q761169	
Q7611709	
Q76118	
Q7612028	
Q7612251	
Q7612292	
Q7612518	
Q7612523	
Q761255	
Q7612603	
Q7612660	
Q76127	
Q7612896	
Q76129552	
Q76129943	
Q7613008	
Q7613161	
Q7613183	
Q7613221	
Q7613249	
Q7613328	
Q76135272	
Q76135548	
Q7613614	
Q7613635	
Q7613676	
Q7613678	
Q7613759	
Q76137707	
Q761387	
Q7613970	
Q7614132	
Q7614222	
Q7614246	
Q7614279	
Q7614306	
Q7614320	
Q7614338	
Q7614395	
Q7614400	
Q7614434	
Q7614465	
Q761466	
Q761469	
Q76148	
Q7614833	
Q7615202	
Q7615294	
Q761534	33.9558,-83.3745
Q7615379	
Q7615447	
Q7615456	
Q7615478	
Q76154857	
Q7615569	
Q761567	
Q7615784	
Q7615848	
Q761597	
Q7616004	52.4972,-0.7862
Q7616011	51.4725,-0.143889
Q7616017	
Q7616031	
Q7616054	
Q76161	
Q76161220	
Q76161225	
Q76161232	
Q76161267	
Q76161322	
Q76161324	
Q761614	28.7235,77.1968
Q7616242	
Q76163	
Q7616372	
Q7616374	
Q761641	
Q76167620	43.66513888888889,-79.39555555555556
Q761688	
Q7616934	
Q76170109	
Q761705	
Q761706	
Q76171772	
Q7617196	
Q7617247	
Q761727	
Q761733	47.4,68.6
Q7617340	
Q7617369	
Q7617514	
Q7617582	56.1192,-3.945
Q7617594	
Q76176053	43.66636111111111,-79.39127777777777
Q7617633	
Q7617692	38.6325,-90.18972222
Q7617772	56.4934,-3.4112
Q7617773	55.8939,-4.2225
Q76178000	43.66625,-79.39122222222223
Q7617942	55.9588,-3.21016
Q7618010	
Q7618013	
Q76181166	
Q7618123	51.51,-0.444
Q7618137	
Q7618146	53.4044,-2.1587
Q7618164	
Q7618175	53.405,-2.16278
Q7618186	
Q7618206	-32.915,151.7844444
Q76182169	
Q7618300	
Q761838	
Q7618427	50.38,-4.16278
Q7618430	53.002,-2.187
Q7618433	53.0311,-2.19611
Q7618438	51.4804,-2.6299
Q7618454	
Q7618482	51.5353,-0.60504
Q7618485	51.495,-2.544
Q7618499	53.0008,-2.1775
Q76185	
Q7618506	51.3188,-0.384
Q7618534	
Q7618555	52.4303,-2.8313
Q7618617	
Q7618623	
Q761877	
Q7618835	
Q7618849	
Q76189	
Q7618907	
Q76190	
Q7619067	
Q7619235	50.3708,-4.1625
Q7619262	52.343,-1.527
Q761931	
Q761938	
Q761952	
Q7619622	53.846,-2.474
Q7619638	
Q761965	
Q7619745	
Q7619770	
Q7619772	
Q7619822	
Q7619874	51.899,-0.396
Q7619893	59.2703,16.1264
Q7619985	
Q7619998	53.3564,-3.0467
Q762	
Q7620032	
Q7620064	40.7603,-73.9753
Q7620310	
Q7620319	70.8158,-27.5078
Q7620330	50.9178,-0.45459
Q7620396	
Q762048	
Q7620552	52.6139,-1.0703
Q7620573	52.525,-2.049
Q7620575	
Q7620594	50.8815,-2.1998
Q7620670	
Q7620676	
Q762068	52.205139,0.103926
Q7620697	52.0326,-1.019
Q7620797	
Q7620847	
Q762100	
Q7621011	
Q762107	0.65,37.83333333
Q762108	
Q762111	43.846111,10.504722
Q7621160	
Q7621216	51.48428055555556,-0.27815277777777775
Q7621232	
Q7621234	51.511,-0.121
Q7621238	
Q7621242	
Q76213285	
Q762133	48.860277777778,2.1163888888889
Q7621376	
Q7621388	
Q7621410	
Q7621428	
Q76214980	
Q7621556	
Q7621575	51.4997,-0.1244
Q76215864	
Q7621627	53.4892,-2.24444
Q7621698	39.9831,-76.1599
Q76218	
Q7621877	
Q7621909	51.34972222222222,-1.0197222222222222
Q762191	
Q7621937	
Q762195	
Q7621950	51.5427,0.0015
Q7621978	51.5149,-0.1493
Q7621991	51.5444,-0.0081
Q7621994	51.03,-1.87
Q7621999	51.5442,-0.0096
Q7622000	
Q76220181	
Q7622046	
Q7622099	
Q7622134	-37.734,144.921
Q762243	
Q7622436	51.438,-0.335114
Q7622498	53.407,-2.1545
Q7622500	
Q7622530	
Q762266	
Q7622702	
Q7622729	50.7356,-3.53528
Q7622731	51.4336,-0.12892
Q7622732	51.4187,-0.1362
Q7622733	51.441,-0.123
Q7622775	
Q76228	
Q7622890	
Q7623020	
Q7623033	
Q7623052	
Q7623057	
Q762316	
Q7623231	
Q7623506	53.4437,-2.2978
Q76236	54,27
Q7623644	
Q7623645	
Q7623646	
Q7623647	
Q7623650	
Q7623651	
Q7623652	
Q7623653	
Q7623654	
Q7623656	
Q7623815	
Q7623865	
Q7623895	53.3737,-2.03984
Q76239	
Q762424	
Q7624288	
Q7624318	
Q7624319	
Q7624369	
Q762439	
Q7624564	
Q7624871	51.746,-2.2327
Q7624973	
Q7625014	
Q762507	
Q762523	
Q762544	
Q762548	
Q762570	19.9175,-75.16
Q762583	
Q76259	
Q762602	50.88,0.65
Q762603	
Q76261841	
Q76262209	
Q7626239	
Q7626301	
Q7626392	
Q7626417	32.8784,-117.241
Q7626455	
Q7626481	
Q76267	
Q7626762	
Q7626868	
Q7627002	
Q762704	
Q762707	
Q7627138	53.4858,-2.19286
Q7627141	
Q7627180	
Q762727	30.4711,-8.8778
Q7627288	
Q7627365	
Q7627786	
Q7628147	
Q7628240	53.38,-1.467
Q7628309	
Q7628311	59.91444444444444,10.737777777777778
Q7628342	51.8054,-1.13464
Q762835	
Q762844	
Q762853	
Q7628692	53.3675,-1.53902
Q76287	
Q7629175	
Q7629397	
Q762943	52.16325,4.5367777777778
Q7629472	
Q762949	
Q762958	
Q762984	
Q76299	
Q7629948	55.67921,12.58684
Q763	17.33,-62.666667
Q76302	
Q763043	
Q76304963	
Q763052	
Q763066	47.73944444,17.79194444
	48.024817,17.216302
Q763073	54.048,-2.807
Q7630912	
Q763096	
Q7631083	
Q76313583	
Q76313618	
Q76313675	
Q76313725	
Q76313736	
Q76313739	
Q76313788	
Q76316495	
Q76316497	
Q763165	
Q76316508	
Q763171	53.683,-1.499
Q763176	
Q763184	
Q763189	35.667778,139.700278
Q7631958	
Q7631964	
Q763197	
Q7632114	
Q76323	
Q7632409	
Q76325	
Q7632586	
Q76326128	
Q7632657	
Q7632661	
Q76326617	
Q76326761	
Q763276	
Q763288	
Q76329087	
Q763304	
Q763332	41.733,15.75
Q763354	49.1225,0.28055555555556
Q76335673	
Q763358	
Q763368	
Q7633806	
Q763386	48.3798,-4.503363888888889
Q763388	
Q76340146	
Q763402	
Q7634021	
Q76341	
Q7634145	
Q7634310	
Q7634312	
Q7634324	
Q763434	
Q763457	
Q7634580	51.5015,-0.0933333
Q7634595	
Q7634605	
Q7634840	40.7592,-73.9861
Q7634878	
Q763507	
Q76351	
Q763522	
Q76353047	
Q7635390	
Q763540	
Q7635591	
Q76358269	
Q76359	
Q7635933	30.3635,-103.65
Q7635970	
Q76360	
Q7636174	
Q763631	
Q76365	
Q76366931	
Q763690	
Q76370269	
Q7637052	59.8667,-1.28333
Q763716	
Q7637208	
Q7637271	
Q76373	
Q7637318	51.7781,-1.26306
Q7637432	
Q7637433	50.09200833333333,14.404366666666666
Q763745	
Q7637454	
Q7637540	
Q763758	
Q7637660	53.6275,-2.3125
Q7637680	
Q763779	
Q7637903	53.683888888889,-2.0919444444444
Q7637931	
Q763803	
Q763808	-33.45,-70.666667
Q76382	
Q7638304	32.8785,-117.24
Q7638305	
Q7638314	
Q7638342	52.3594,-2.8735
	52.35972,-2.874333
